"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4869","319 - https://lasvegas.shopdutyfree.com/en/","chromium","Fri Mar 14 18:25:17 IST 2025","passed","Fri Mar 14 18:25:22 IST 2025","","LoadURL.spec.ts","",""
"","5592","549 - https://fez.shopdutyfree.com/fr/","chromium","Fri Mar 14 18:29:02 IST 2025","passed","Fri Mar 14 18:29:07 IST 2025","","LoadURL.spec.ts","",""
"","5376","502 - https://confins.shopdutyfree.com/en/","chromium","Fri Mar 14 18:28:19 IST 2025","passed","Fri Mar 14 18:28:24 IST 2025","","LoadURL.spec.ts","",""
"","6094","484 - https://guarulhos.shopdutyfree.com/en/","chromium","Fri Mar 14 18:28:00 IST 2025","passed","Fri Mar 14 18:28:06 IST 2025","","LoadURL.spec.ts","",""
"","5773","16 - https://girona.shopdutyfree.com/es/","chromium","Fri Mar 14 18:19:35 IST 2025","passed","Fri Mar 14 18:19:41 IST 2025","","LoadURL.spec.ts","",""
"","5431","106 - https://helsinki.shopdutyfree.com/fi/","chromium","Fri Mar 14 18:21:01 IST 2025","passed","Fri Mar 14 18:21:06 IST 2025","","LoadURL.spec.ts","",""
"","5970","34 - https://bilbao.shopdutyfree.com/en/","chromium","Fri Mar 14 18:19:52 IST 2025","passed","Fri Mar 14 18:19:58 IST 2025","","LoadURL.spec.ts","",""
"","6604","583 - https://zakynthos.shopdutyfree.com/en/","chromium","Fri Mar 14 18:29:36 IST 2025","passed","Fri Mar 14 18:29:43 IST 2025","","LoadURL.spec.ts","",""
"","6882","310 - https://newark.shopdutyfree.com/en/","chromium","Fri Mar 14 18:25:05 IST 2025","passed","Fri Mar 14 18:25:12 IST 2025","","LoadURL.spec.ts","",""
"","6415","623 - https://guadeloupe.shopdutyfree.com/en/","chromium","Fri Mar 14 18:30:22 IST 2025","passed","Fri Mar 14 18:30:29 IST 2025","","LoadURL.spec.ts","",""
"","6221","363 - https://chicago.shopdutyfree.com/en/","chromium","Fri Mar 14 18:26:01 IST 2025","passed","Fri Mar 14 18:26:08 IST 2025","","LoadURL.spec.ts","",""
"","4698","296 - https://santodomingo.shopdutyfree.com/es/","chromium","Fri Mar 14 18:24:46 IST 2025","passed","Fri Mar 14 18:24:51 IST 2025","","LoadURL.spec.ts","",""
"","7145","161 - https://krasnodar.shopdutyfree.com/en/","chromium","Fri Mar 14 18:21:57 IST 2025","passed","Fri Mar 14 18:22:04 IST 2025","","LoadURL.spec.ts","",""
"","6377","220 - https://aeroparque.shopdutyfree.com/en/","chromium","Fri Mar 14 18:22:59 IST 2025","passed","Fri Mar 14 18:23:06 IST 2025","","LoadURL.spec.ts","",""
"","5826","436 - https://southampton.worlddutyfree.com/en/","chromium","Fri Mar 14 18:27:14 IST 2025","passed","Fri Mar 14 18:27:20 IST 2025","","LoadURL.spec.ts","",""
"","5685","371 - https://billybishop.shopdutyfree.com/","chromium","Fri Mar 14 18:26:11 IST 2025","passed","Fri Mar 14 18:26:17 IST 2025","","LoadURL.spec.ts","",""
"","8909","466 - https://div7.shopdutyfree.com/","chromium","Fri Mar 14 18:27:42 IST 2025","passed","Fri Mar 14 18:27:51 IST 2025","","LoadURL.spec.ts","",""
"","4781","632 - Moroccanoil Moroccanoil Protect & Prevent Spray 160ml | Duty Free Toulouse Boutiques de le aéroport (shopdutyfree.com)","chromium","Fri Mar 14 18:30:35 IST 2025","failed","Fri Mar 14 18:30:40 IST 2025","","LoadURL.spec.ts","",""
"","5526","384 - https://bournemouth.worlddutyfree.com/en/","chromium","Fri Mar 14 18:26:23 IST 2025","passed","Fri Mar 14 18:26:29 IST 2025","","LoadURL.spec.ts","",""
"","6184","158 - https://sochi.shopdutyfree.com/ru/","chromium","Fri Mar 14 18:21:57 IST 2025","passed","Fri Mar 14 18:22:03 IST 2025","","LoadURL.spec.ts","",""
"","6184","563 - https://heraklion.shopdutyfree.com/en/","chromium","Fri Mar 14 18:29:14 IST 2025","passed","Fri Mar 14 18:29:20 IST 2025","","LoadURL.spec.ts","",""
"","5715","423 - https://london-heathrow.worlddutyfree.com/en/","chromium","Fri Mar 14 18:27:00 IST 2025","passed","Fri Mar 14 18:27:06 IST 2025","","LoadURL.spec.ts","",""
"","5902","337 - https://calgary.shopdutyfree.com/fr/","chromium","Fri Mar 14 18:25:34 IST 2025","passed","Fri Mar 14 18:25:40 IST 2025","","LoadURL.spec.ts","",""
"","5998","456 - https://cairnryan-port.worlddutyfree.com/en/","chromium","Fri Mar 14 18:27:31 IST 2025","passed","Fri Mar 14 18:27:37 IST 2025","","LoadURL.spec.ts","",""
"","5373","581 - https://kos.shopdutyfree.com/en/","chromium","Fri Mar 14 18:29:32 IST 2025","passed","Fri Mar 14 18:29:37 IST 2025","","LoadURL.spec.ts","",""
"","5162","425 - https://southend.worlddutyfree.com/en/","chromium","Fri Mar 14 18:27:05 IST 2025","passed","Fri Mar 14 18:27:10 IST 2025","","LoadURL.spec.ts","",""
"","4833","434 - https://norwich.worlddutyfree.com/en/","chromium","Fri Mar 14 18:27:12 IST 2025","passed","Fri Mar 14 18:27:16 IST 2025","","LoadURL.spec.ts","",""
"","6958","308 - https://detroit.shopdutyfree.com/en/","chromium","Fri Mar 14 18:25:00 IST 2025","passed","Fri Mar 14 18:25:07 IST 2025","","LoadURL.spec.ts","",""
"","4844","382 - https://belfast.worlddutyfree.com/en/","chromium","Fri Mar 14 18:26:23 IST 2025","passed","Fri Mar 14 18:26:28 IST 2025","","LoadURL.spec.ts","",""
"","4802","204 - https://loscabos.shopdutyfree.com/es/","chromium","Fri Mar 14 18:22:46 IST 2025","passed","Fri Mar 14 18:22:50 IST 2025","","LoadURL.spec.ts","",""
"","5428","578 - https://mytilini.shopdutyfree.com/el/","chromium","Fri Mar 14 18:29:31 IST 2025","passed","Fri Mar 14 18:29:36 IST 2025","","LoadURL.spec.ts","",""
"","6459","183 - https://mazatlan.shopdutyfree.com/en/","chromium","Fri Mar 14 18:22:26 IST 2025","passed","Fri Mar 14 18:22:32 IST 2025","","LoadURL.spec.ts","",""
"","6618","408 - https://jersey.worlddutyfree.com/en/","chromium","Fri Mar 14 18:26:48 IST 2025","passed","Fri Mar 14 18:26:55 IST 2025","","LoadURL.spec.ts","",""
"","5898","420 - https://london-heathrow.worlddutyfree.com/en/","chromium","Fri Mar 14 18:27:00 IST 2025","passed","Fri Mar 14 18:27:06 IST 2025","","LoadURL.spec.ts","",""
"","5203","551 - https://cairo.shopdutyfree.com/en/","chromium","Fri Mar 14 18:29:04 IST 2025","passed","Fri Mar 14 18:29:09 IST 2025","","LoadURL.spec.ts","",""
"","4934","258 - https://sanjuan.shopdutyfree.com/es/","chromium","Fri Mar 14 18:24:05 IST 2025","passed","Fri Mar 14 18:24:10 IST 2025","","LoadURL.spec.ts","",""
"","5451","294 - https://santodomingo.shopdutyfree.com/es/","chromium","Fri Mar 14 18:24:41 IST 2025","passed","Fri Mar 14 18:24:46 IST 2025","","LoadURL.spec.ts","",""
"","6439","107 - https://zurich.shopdutyfree.com/de/","chromium","Fri Mar 14 18:21:02 IST 2025","passed","Fri Mar 14 18:21:08 IST 2025","","LoadURL.spec.ts","",""
"","6591","307 - https://denver.shopdutyfree.com/en/","chromium","Fri Mar 14 18:24:58 IST 2025","passed","Fri Mar 14 18:25:05 IST 2025","","LoadURL.spec.ts","",""
"","5506","567 - https://chania.shopdutyfree.com/en/","chromium","Fri Mar 14 18:29:19 IST 2025","passed","Fri Mar 14 18:29:25 IST 2025","","LoadURL.spec.ts","",""
"","6660","312 - https://houstonhobby.shopdutyfree.com/en/","chromium","Fri Mar 14 18:25:07 IST 2025","passed","Fri Mar 14 18:25:13 IST 2025","","LoadURL.spec.ts","",""
"","4940","317 - https://lasvegas.shopdutyfree.com/en/","chromium","Fri Mar 14 18:25:16 IST 2025","passed","Fri Mar 14 18:25:21 IST 2025","","LoadURL.spec.ts","",""
"","6073","141 - https://zvartnots.shopdutyfree.com/en/","chromium","Fri Mar 14 18:21:36 IST 2025","passed","Fri Mar 14 18:21:42 IST 2025","","LoadURL.spec.ts","",""
"","5984","538 - https://malta.shopdutyfree.com/en/","chromium","Fri Mar 14 18:28:50 IST 2025","passed","Fri Mar 14 18:28:56 IST 2025","","LoadURL.spec.ts","",""
"","6668","292 - https://saintmartin.shopdutyfree.com/en/","chromium","Fri Mar 14 18:24:39 IST 2025","passed","Fri Mar 14 18:24:46 IST 2025","","LoadURL.spec.ts","",""
"","4498","503 - https://brasilia.shopdutyfree.com/pt/","chromium","Fri Mar 14 18:28:20 IST 2025","passed","Fri Mar 14 18:28:24 IST 2025","","LoadURL.spec.ts","",""
"","5477","537 - https://lapalma.shopdutyfree.com/es/","chromium","Fri Mar 14 18:28:50 IST 2025","passed","Fri Mar 14 18:28:55 IST 2025","","LoadURL.spec.ts","",""
"","5824","328 - https://sanford.shopdutyfree.com/en/","chromium","Fri Mar 14 18:25:27 IST 2025","passed","Fri Mar 14 18:25:33 IST 2025","","LoadURL.spec.ts","",""
"","5291","624 - https://guadeloupe.shopdutyfree.com/fr/","chromium","Fri Mar 14 18:30:22 IST 2025","passed","Fri Mar 14 18:30:28 IST 2025","","LoadURL.spec.ts","",""
"","7034","164 - https://dusseldorf.shopdutyfree.com/de/","chromium","Fri Mar 14 18:22:04 IST 2025","passed","Fri Mar 14 18:22:11 IST 2025","","LoadURL.spec.ts","",""
"","5999","376 - https://manchester.worlddutyfree.com/en/","chromium","Fri Mar 14 18:26:17 IST 2025","passed","Fri Mar 14 18:26:23 IST 2025","","LoadURL.spec.ts","",""
"","5337","347 - https://vancouver.shopdutyfree.com/zh/","chromium","Fri Mar 14 18:25:45 IST 2025","passed","Fri Mar 14 18:25:51 IST 2025","","LoadURL.spec.ts","",""
"","5804","541 - https://marrakech.shopdutyfree.com/fr/","chromium","Fri Mar 14 18:28:55 IST 2025","passed","Fri Mar 14 18:29:01 IST 2025","","LoadURL.spec.ts","",""
"","13265","619 - https://guadeloupe.shopdutyfree.com/en/","chromium","Fri Mar 14 18:30:25 IST 2025","passed","Fri Mar 14 18:30:39 IST 2025","","LoadURL.spec.ts","",""
"","6196","254 - https://guayaquil.shopdutyfree.com/es/","chromium","Fri Mar 14 18:23:59 IST 2025","passed","Fri Mar 14 18:24:05 IST 2025","","LoadURL.spec.ts","",""
"","5890","64 - https://almeria.shopdutyfree.com/es/","chromium","Fri Mar 14 18:20:21 IST 2025","passed","Fri Mar 14 18:20:27 IST 2025","","LoadURL.spec.ts","",""
"","5500","450 - https://hull-port.worlddutyfree.com/en/","chromium","Fri Mar 14 18:27:26 IST 2025","passed","Fri Mar 14 18:27:31 IST 2025","","LoadURL.spec.ts","",""
"","4813","474 - https://emporium.dufry.com/br/","chromium","Fri Mar 14 18:27:51 IST 2025","passed","Fri Mar 14 18:27:56 IST 2025","","LoadURL.spec.ts","",""
"","5443","198 - https://cancun.shopdutyfree.com/es/","chromium","Fri Mar 14 18:22:40 IST 2025","passed","Fri Mar 14 18:22:46 IST 2025","","LoadURL.spec.ts","",""
"","5530","98 - https://stockholm.shopdutyfree.com/en/","chromium","Fri Mar 14 18:20:54 IST 2025","passed","Fri Mar 14 18:21:00 IST 2025","","LoadURL.spec.ts","",""
"","6012","492 - https://campinas.shopdutyfree.com/en/","chromium","Fri Mar 14 18:28:08 IST 2025","passed","Fri Mar 14 18:28:14 IST 2025","","LoadURL.spec.ts","",""
"","6404","215 - https://buenosaires.shopdutyfree.com/es/","chromium","Fri Mar 14 18:22:55 IST 2025","passed","Fri Mar 14 18:23:01 IST 2025","","LoadURL.spec.ts","",""
"","5719","73 - https://barcelona.shopdutyfree.com/en/","chromium","Fri Mar 14 18:20:32 IST 2025","passed","Fri Mar 14 18:20:37 IST 2025","","LoadURL.spec.ts","",""
"","4796","256 - https://sanjuan.shopdutyfree.com/es/","chromium","Fri Mar 14 18:24:03 IST 2025","passed","Fri Mar 14 18:24:08 IST 2025","","LoadURL.spec.ts","",""
"","6012","293 - https://santodomingo.shopdutyfree.com/en/","chromium","Fri Mar 14 18:24:40 IST 2025","passed","Fri Mar 14 18:24:46 IST 2025","","LoadURL.spec.ts","",""
"","4979","231 - https://brc.mag2-uat.dufry.cloud/es/","chromium","Fri Mar 14 18:23:11 IST 2025","failed","Fri Mar 14 18:23:16 IST 2025","","LoadURL.spec.ts","",""
"","6986","340 - https://edmonton.shopdutyfree.com/en/","chromium","Fri Mar 14 18:25:38 IST 2025","passed","Fri Mar 14 18:25:45 IST 2025","","LoadURL.spec.ts","",""
"","6235","31 - https://santiagodecompostela.shopdutyfree.com/en/","chromium","Fri Mar 14 18:19:50 IST 2025","passed","Fri Mar 14 18:19:57 IST 2025","","LoadURL.spec.ts","",""
"","5900","19 - https://fuerteventura.shopdutyfree.com/en/","chromium","Fri Mar 14 18:19:39 IST 2025","passed","Fri Mar 14 18:19:45 IST 2025","","LoadURL.spec.ts","",""
